location,lat,lon,mention_count,entertainment_score_mean,entertainment_score_present_share,entertainment_score_strong_share,entertainment_score_sum,bad_news_score_mean,bad_news_score_present_share,bad_news_score_strong_share,bad_news_score_sum,magnitude_score_mean,magnitude_score_present_share,magnitude_score_strong_share,magnitude_score_sum,good_news_score_mean,good_news_score_present_share,good_news_score_strong_share,good_news_score_sum,celebrity_score_mean,celebrity_score_present_share,celebrity_score_strong_share,celebrity_score_sum,power_elite_score_mean,power_elite_score_present_share,power_elite_score_strong_share,power_elite_score_sum,dominant_news_values,dominant_map_category
Hellevoetsluis,51.833921,4.1436739,26,0.0,0.0,0.0,0,76.92307692307692,0.7692307692307693,0.7692307692307693,2000,38.46153846153846,0.7692307692307693,0.0,1000,0.0,0.0,0.0,0,0.0,0.0,0.0,0,34.61538461538461,0.6923076923076923,0.0,900,bad_news,bad_news
Helmond,51.4790956,5.6557686,65,4.615384615384615,0.046153846153846156,0.046153846153846156,300,35.38461538461539,0.35384615384615387,0.35384615384615387,2300,25.384615384615383,0.4307692307692308,0.07692307692307693,1650,3.076923076923077,0.03076923076923077,0.03076923076923077,200,3.076923076923077,0.03076923076923077,0.03076923076923077,200,14.615384615384615,0.2923076923076923,0.0,950,bad_news,bad_news
Helvoirt,51.6336388,5.2290649,4,0.0,0.0,0.0,0,25.0,0.25,0.25,100,12.5,0.25,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,12.5,0.25,0.0,50,bad_news,bad_news
Hendrik-Ido-Ambacht,51.8438893,4.635647,12,50.0,0.5,0.5,600,33.333333333333336,0.3333333333333333,0.3333333333333333,400,25.0,0.4166666666666667,0.08333333333333333,300,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16.666666666666668,0.3333333333333333,0.0,200,entertainment,entertainment
Hengelo,52.0522752,6.3112579,74,8.108108108108109,0.08108108108108109,0.08108108108108109,600,25.675675675675677,0.25675675675675674,0.25675675675675674,1900,24.324324324324323,0.3783783783783784,0.10810810810810811,1800,25.675675675675677,0.25675675675675674,0.25675675675675674,1900,2.7027027027027026,0.04054054054054054,0.013513513513513514,200,11.486486486486486,0.21621621621621623,0.013513513513513514,850,bad_news,bad_news
Hengevelde,52.1995378,6.6382793,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,100.0,1.0,1.0,300,0.0,0.0,0.0,0,0.0,0.0,0.0,0,good_news,good_news
Herkenbosch,51.1548896,6.0660056,7,0.0,0.0,0.0,0,100.0,1.0,1.0,700,50.0,1.0,0.0,350,0.0,0.0,0.0,0,0.0,0.0,0.0,0,50.0,1.0,0.0,350,bad_news,bad_news
Herpen,51.7728234,5.6422866,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Herveld,51.9060926,5.7406415,2,50.0,0.5,0.5,100,50.0,0.5,0.5,100,25.0,0.5,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,25.0,0.5,0.0,50,entertainment,entertainment
Herwijnen,51.8267226,5.1296799,2,0.0,0.0,0.0,0,50.0,0.5,0.5,100,25.0,0.5,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bad_news,bad_news
